市场代码,合约代码,Date,最新,持仓,增仓,成交额,Volume,开仓,平仓,成交类型,方向,买一价,Close,买一量,卖一量
DC,a2403,2024-01-26 21:19:32.468,4686.0000,185034,0,140580.0000,3,1,2,多换,S,4686.0000,4687.0000,16,158
DC,a2403,2024-01-26 21:19:33.783,4686.0000,185044,10,843480.0000,18,14,4,多开,B,4685.0000,4687.0000,35,159
DC,a2403,2024-01-26 21:19:40.752,4687.0000,185044,0,46870.0000,1,0,1,空换,B,4686.0000,4687.0000,40,161
DC,a2403,2024-01-26 21:19:41.247,4687.0000,185044,0,46870.0000,1,0,1,空换,B,4686.0000,4687.0000,40,160
DC,a2403,2024-01-26 21:19:41.975,4687.0000,185043,-1,46870.0000,1,0,1,双平,B,4686.0000,4687.0000,47,159
DC,a2403,2024-01-26 21:19:42.905,4687.0000,185043,0,468700.0000,10,5,5,空换,B,4686.0000,4687.0000,53,149
DC,a2403,2024-01-26 21:19:43.472,4687.0000,185041,-2,187480.0000,4,1,3,空平,B,4686.0000,4687.0000,55,145
DC,a2403,2024-01-26 21:19:43.889,4687.0000,185030,-11,703050.0000,15,2,13,空平,B,4686.0000,4687.0000,74,130
DC,a2403,2024-01-26 21:19:44.467,4688.0000,185044,14,6983830.0000,149,81,68,空开,S,4688.0000,4689.0000,42,38
DC,a2403,2024-01-26 21:19:44.939,4689.0000,185044,0,187560.0000,4,2,2,空换,B,4688.0000,4689.0000,21,26
DC,a2403,2024-01-26 21:19:45.893,4689.0000,185044,0,656410.0000,14,7,7,空换,B,4688.0000,4689.0000,39,20
DC,a2403,2024-01-26 21:19:48.149,4689.0000,185041,-3,140670.0000,3,0,3,双平,B,4688.0000,4689.0000,45,16
DC,a2403,2024-01-26 21:19:49.739,4689.0000,185040,-1,46890.0000,1,0,1,双平,B,4688.0000,4689.0000,38,16
DC,a2403,2024-01-26 21:19:50.352,4689.0000,185039,-1,46890.0000,1,0,1,双平,B,4688.0000,4689.0000,40,29
DC,a2403,2024-01-26 21:19:50.715,4689.0000,185038,-1,46890.0000,1,0,1,双平,B,4688.0000,4689.0000,42,29
DC,a2403,2024-01-26 21:19:54.383,4688.0000,185035,-3,984480.0000,21,9,12,多平,S,4688.0000,4689.0000,22,29
DC,a2403,2024-01-26 21:19:54.763,4688.0000,185026,-9,1031360.0000,22,6,16,空平,B,4687.0000,4688.0000,28,13
DC,a2403,2024-01-26 21:19:55.260,4688.0000,185025,-1,46880.0000,1,0,1,双平,B,4687.0000,4688.0000,49,12
DC,a2403,2024-01-26 21:19:55.821,4688.0000,185025,0,46880.0000,1,0,1,空换,B,4687.0000,4688.0000,48,3
DC,a2403,2024-01-26 21:19:56.242,4688.0000,185022,-3,187520.0000,4,0,4,空平,B,4687.0000,4689.0000,48,43
DC,a2403,2024-01-26 21:20:01.488,4689.0000,185022,0,46890.0000,1,0,1,空换,B,4688.0000,4689.0000,43,33
DC,a2403,2024-01-26 21:20:01.844,4688.0000,185022,0,93770.0000,2,1,1,多换,S,4688.0000,4689.0000,44,18
DC,a2403,2024-01-26 21:20:03.299,4688.0000,185033,11,1172000.0000,25,18,7,空开,S,4688.0000,4689.0000,19,36
DC,a2403,2024-01-26 21:20:03.975,4688.0000,185016,-17,890720.0000,19,1,18,空平,B,4687.0000,4688.0000,58,2
DC,a2403,2024-01-26 21:20:04.883,4688.0000,185015,-1,93750.0000,2,0,2,空平,B,4687.0000,4688.0000,56,18
DC,a2403,2024-01-26 21:20:05.469,4688.0000,185011,-4,281280.0000,6,1,5,空平,B,4687.0000,4688.0000,65,12
DC,a2403,2024-01-26 21:20:06.375,4688.0000,185012,1,234380.0000,5,3,2,多开,B,4687.0000,4688.0000,56,18
DC,a2403,2024-01-26 21:20:06.974,4688.0000,185016,4,609440.0000,13,8,5,多开,B,4687.0000,4688.0000,59,1
DC,a2403,2024-01-26 21:20:07.454,4687.0000,185016,0,46870.0000,1,0,1,多换,S,4687.0000,4688.0000,59,16
DC,a2403,2024-01-26 21:20:07.967,4687.0000,185016,0,46870.0000,1,0,1,多换,S,4687.0000,4688.0000,37,20
DC,a2403,2024-01-26 21:20:08.464,4687.0000,185016,0,187480.0000,4,2,2,多换,S,4687.0000,4688.0000,17,29
DC,a2403,2024-01-26 21:20:08.969,4687.0000,185015,-1,187480.0000,4,1,3,多平,S,4687.0000,4688.0000,14,32
DC,a2403,2024-01-26 21:20:09.473,4688.0000,185025,10,1593910.0000,34,22,12,空开,S,4688.0000,4689.0000,67,47
DC,a2403,2024-01-26 21:20:10.374,4689.0000,185024,-1,46890.0000,1,0,1,双平,B,4688.0000,4689.0000,68,34
DC,a2403,2024-01-26 21:20:11.481,4688.0000,185024,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,68,34
DC,a2403,2024-01-26 21:20:11.931,4689.0000,185024,0,46890.0000,1,0,1,空换,B,4688.0000,4689.0000,68,33
DC,a2403,2024-01-26 21:20:12.239,4688.0000,185024,0,281280.0000,6,3,3,多换,S,4688.0000,4689.0000,62,33
DC,a2403,2024-01-26 21:20:13.239,4689.0000,185025,1,46890.0000,1,1,0,双开,B,4688.0000,4689.0000,64,31
DC,a2403,2024-01-26 21:20:13.892,4688.0000,185025,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,63,21
DC,a2403,2024-01-26 21:20:14.241,4688.0000,185025,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,62,21
DC,a2403,2024-01-26 21:20:14.498,4688.0000,185025,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,61,21
DC,a2403,2024-01-26 21:20:15.804,4689.0000,185025,0,375060.0000,8,4,4,空换,B,4688.0000,4689.0000,58,26
DC,a2403,2024-01-26 21:20:15.994,4688.0000,185026,1,46880.0000,1,1,0,双开,S,4688.0000,4689.0000,57,25
DC,a2403,2024-01-26 21:20:16.983,4689.0000,185030,4,234450.0000,5,4,1,多开,B,4688.0000,4689.0000,58,20
DC,a2403,2024-01-26 21:20:17.739,4688.0000,185030,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,59,20
DC,a2403,2024-01-26 21:20:18.163,4688.0000,185030,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,58,20
DC,a2403,2024-01-26 21:20:18.916,4689.0000,185024,-6,609560.0000,13,3,10,空平,B,4688.0000,4689.0000,57,9
DC,a2403,2024-01-26 21:20:19.838,4688.0000,185024,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,68,13
DC,a2403,2024-01-26 21:20:20.450,4688.0000,185024,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,66,13
DC,a2403,2024-01-26 21:20:20.654,4688.0000,185024,0,93760.0000,2,1,1,多换,S,4688.0000,4689.0000,67,13
DC,a2403,2024-01-26 21:20:23.256,4688.0000,185024,0,93760.0000,2,1,1,多换,S,4688.0000,4689.0000,65,19
DC,a2403,2024-01-26 21:20:23.498,4688.0000,185024,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,64,19
DC,a2403,2024-01-26 21:20:25.906,4688.0000,185024,0,187520.0000,4,2,2,多换,S,4688.0000,4689.0000,61,19
DC,a2403,2024-01-26 21:20:26.173,4688.0000,185024,0,93760.0000,2,1,1,多换,S,4688.0000,4689.0000,59,19
DC,a2403,2024-01-26 21:20:26.739,4688.0000,185024,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,58,19
DC,a2403,2024-01-26 21:20:27.045,4689.0000,185023,-1,46890.0000,1,0,1,双平,B,4688.0000,4689.0000,58,21
DC,a2403,2024-01-26 21:20:27.907,4689.0000,185021,-2,93780.0000,2,0,2,双平,B,4688.0000,4689.0000,58,20
DC,a2403,2024-01-26 21:20:28.239,4688.0000,185021,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,57,20
DC,a2403,2024-01-26 21:20:29.350,4688.0000,185021,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,70,16
DC,a2403,2024-01-26 21:20:30.009,4688.0000,185021,0,46880.0000,1,0,1,多换,S,4688.0000,4689.0000,72,16
DC,a2403,2024-01-26 21:20:30.880,4688.0000,185023,2,93760.0000,2,2,0,双开,S,4688.0000,4689.0000,74,16
DC,a2403,2024-01-26 21:20:31.739,4688.0000,185024,1,46880.0000,1,1,0,双开,S,4688.0000,4689.0000,73,16
DC,a2403,2024-01-26 21:20:32.964,4689.0000,185027,3,656450.0000,14,8,6,多开,B,4688.0000,4689.0000,71,3
DC,a2403,2024-01-26 21:20:33.470,4689.0000,185029,2,140670.0000,3,2,1,多开,B,4688.0000,4689.0000,67,1
DC,a2403,2024-01-26 21:20:33.763,4689.0000,185027,-2,328230.0000,7,2,5,多平,S,4689.0000,4690.0000,2,79
DC,a2403,2024-01-26 21:20:34.950,4689.0000,185026,-1,46890.0000,1,0,1,双平,S,4689.0000,4690.0000,7,80
DC,a2403,2024-01-26 21:20:35.599,4690.0000,185026,0,46900.0000,1,0,1,空换,B,4689.0000,4690.0000,7,79
DC,a2403,2024-01-26 21:20:36.239,4689.0000,185031,5,328230.0000,7,6,1,多开,B,4688.0000,4689.0000,65,11
DC,a2403,2024-01-26 21:20:36.906,4689.0000,185030,-1,93780.0000,2,0,2,空平,B,4688.0000,4689.0000,61,10
DC,a2403,2024-01-26 21:20:37.367,4689.0000,185029,-1,187560.0000,4,1,3,空平,B,4688.0000,4689.0000,61,2
DC,a2403,2024-01-26 21:20:37.739,4689.0000,185030,1,562680.0000,12,6,6,多开,B,4688.0000,4690.0000,61,83
DC,a2403,2024-01-26 21:20:38.966,4689.0000,185029,-1,46890.0000,1,0,1,双平,S,4689.0000,4690.0000,39,82
DC,a2403,2024-01-26 21:20:39.272,4689.0000,185029,0,46890.0000,1,0,1,多换,S,4689.0000,4690.0000,39,79
DC,a2403,2024-01-26 21:20:39.957,4689.0000,185028,-1,46890.0000,1,0,1,双平,S,4689.0000,4690.0000,39,79
DC,a2403,2024-01-26 21:20:40.090,4689.0000,185027,-1,46890.0000,1,0,1,双平,S,4689.0000,4690.0000,40,79
DC,a2403,2024-01-26 21:20:40.911,4689.0000,185027,0,234450.0000,5,2,3,多换,S,4689.0000,4690.0000,15,79
DC,a2403,2024-01-26 21:20:41.299,4689.0000,185025,-2,93780.0000,2,0,2,双平,S,4689.0000,4690.0000,13,79
DC,a2403,2024-01-26 21:20:41.977,4690.0000,185008,-17,984900.0000,21,2,19,空平,B,4689.0000,4690.0000,13,58
DC,a2403,2024-01-26 21:20:42.368,4690.0000,184992,-16,938000.0000,20,2,18,空平,B,4689.0000,4690.0000,33,38
DC,a2403,2024-01-26 21:20:42.954,4690.0000,184976,-16,1031800.0000,22,3,19,空平,B,4689.0000,4690.0000,33,12
DC,a2403,2024-01-26 21:20:43.250,4690.0000,184979,3,328300.0000,7,5,2,多开,B,4689.0000,4691.0000,33,40
DC,a2403,2024-01-26 21:20:44.827,4690.0000,184979,0,46900.0000,1,0,1,空换,B,4689.0000,4691.0000,39,45
DC,a2403,2024-01-26 21:20:45.270,4689.0000,184977,-2,93790.0000,2,0,2,双平,S,4689.0000,4691.0000,38,45
DC,a2403,2024-01-26 21:20:45.902,4689.0000,184976,-1,46890.0000,1,0,1,双平,S,4689.0000,4691.0000,37,45
DC,a2403,2024-01-26 21:20:46.379,4691.0000,184979,3,469070.0000,10,6,4,多开,B,4690.0000,4691.0000,3,45
DC,a2403,2024-01-26 21:20:46.985,4691.0000,184964,-15,891190.0000,19,2,17,空平,B,4690.0000,4691.0000,1,40
DC,a2403,2024-01-26 21:20:47.364,4691.0000,184963,-1,93810.0000,2,0,2,空平,B,4689.0000,4690.0000,41,1
DC,a2403,2024-01-26 21:20:47.954,4691.0000,184934,-29,1829450.0000,39,5,34,多平,S,4691.0000,4692.0000,3,71
DC,a2403,2024-01-26 21:20:48.379,4691.0000,184929,-5,234550.0000,5,0,5,双平,B,4690.0000,4691.0000,20,23
DC,a2403,2024-01-26 21:20:48.948,4691.0000,184928,-1,281460.0000,6,2,4,空平,B,4690.0000,4691.0000,20,19
DC,a2403,2024-01-26 21:20:50.239,4691.0000,184927,-1,93820.0000,2,0,2,空平,B,4690.0000,4691.0000,28,8
DC,a2403,2024-01-26 21:20:52.407,4691.0000,184927,0,93820.0000,2,1,1,空换,B,4690.0000,4691.0000,31,7
DC,a2403,2024-01-26 21:20:53.300,4691.0000,184924,-3,328370.0000,7,2,5,多平,S,4691.0000,4692.0000,10,54
DC,a2403,2024-01-26 21:20:53.828,4691.0000,184924,0,797350.0000,17,8,9,空换,B,4690.0000,4691.0000,10,30
DC,a2403,2024-01-26 21:20:54.239,4691.0000,184902,-22,1078900.0000,23,0,23,空平,B,4690.0000,4691.0000,25,25
DC,a2403,2024-01-26 21:20:54.804,4691.0000,184905,3,469100.0000,10,6,4,多开,B,4690.0000,4691.0000,29,34
DC,a2403,2024-01-26 21:20:55.273,4690.0000,184897,-8,375200.0000,8,0,8,双平,B,4689.0000,4691.0000,40,79
DC,a2403,2024-01-26 21:20:56.451,4690.0000,184896,-1,93800.0000,2,0,2,空平,B,4689.0000,4691.0000,43,84
DC,a2403,2024-01-26 21:20:56.947,4690.0000,184889,-7,328320.0000,7,0,7,双平,B,4689.0000,4691.0000,40,84
DC,a2403,2024-01-26 21:20:57.239,4690.0000,184888,-1,46900.0000,1,0,1,双平,B,4689.0000,4690.0000,40,3
DC,a2403,2024-01-26 21:20:58.289,4689.0000,184888,0,46890.0000,1,0,1,多换,S,4689.0000,4690.0000,20,84
DC,a2403,2024-01-26 21:20:58.973,4690.0000,184891,3,562790.0000,12,7,5,多开,B,4689.0000,4690.0000,19,74
DC,a2403,2024-01-26 21:20:59.866,4689.0000,184889,-2,93780.0000,2,0,2,双平,S,4689.0000,4690.0000,25,74
DC,a2403,2024-01-26 21:21:00.342,4689.0000,184896,7,703480.0000,15,11,4,空开,S,4689.0000,4690.0000,22,64
DC,a2403,2024-01-26 21:21:00.905,4689.0000,184900,4,2344940.0000,50,27,23,空开,S,4689.0000,4690.0000,30,24
DC,a2403,2024-01-26 21:21:01.442,4690.0000,184916,16,1219400.0000,26,21,5,空开,S,4690.0000,4691.0000,42,18
DC,a2403,2024-01-26 21:21:01.958,4690.0000,184911,-5,281410.0000,6,0,6,多平,S,4690.0000,4691.0000,38,15
DC,a2403,2024-01-26 21:21:03.367,4690.0000,184911,0,46900.0000,1,0,1,多换,S,4690.0000,4691.0000,42,17
DC,a2403,2024-01-26 21:21:03.773,4690.0000,184903,-8,375200.0000,8,0,8,双平,S,4690.0000,4691.0000,31,40
DC,a2403,2024-01-26 21:21:04.387,4690.0000,184883,-20,984900.0000,21,0,21,空平,B,4689.0000,4691.0000,36,48
DC,a2403,2024-01-26 21:21:04.946,4690.0000,184882,-1,140700.0000,3,1,2,空平,B,4689.0000,4690.0000,32,1
DC,a2403,2024-01-26 21:21:06.977,4689.0000,184883,1,140680.0000,3,2,1,空开,S,4689.0000,4691.0000,31,52
DC,a2403,2024-01-26 21:21:07.960,4690.0000,184880,-3,375200.0000,8,2,6,多平,S,4690.0000,4691.0000,12,50
DC,a2403,2024-01-26 21:21:08.488,4691.0000,184866,-14,1172700.0000,25,5,20,空平,B,4690.0000,4691.0000,18,27
DC,a2403,2024-01-26 21:21:08.968,4690.0000,184866,0,375260.0000,8,4,4,多换,S,4690.0000,4691.0000,24,21
DC,a2403,2024-01-26 21:21:09.982,4691.0000,184866,0,469090.0000,10,5,5,空换,B,4690.0000,4691.0000,16,15
DC,a2403,2024-01-26 21:21:10.413,4690.0000,184862,-4,656720.0000,14,5,9,多平,S,4690.0000,4691.0000,29,3
DC,a2403,2024-01-26 21:21:10.982,4690.0000,184862,0,93800.0000,2,1,1,多换,S,4690.0000,4691.0000,28,2
DC,a2403,2024-01-26 21:21:11.659,4690.0000,184863,1,46900.0000,1,1,0,双开,S,4690.0000,4691.0000,28,2
DC,a2403,2024-01-26 21:21:12.450,4690.0000,184863,0,281400.0000,6,3,3,多换,S,4690.0000,4691.0000,22,2
DC,a2403,2024-01-26 21:21:12.965,4690.0000,184865,2,93800.0000,2,2,0,双开,S,4690.0000,4691.0000,20,2
DC,a2403,2024-01-26 21:21:13.403,4690.0000,184866,1,46900.0000,1,1,0,双开,S,4690.0000,4691.0000,20,3
DC,a2403,2024-01-26 21:21:13.916,4691.0000,184865,-1,140720.0000,3,1,2,空平,B,4690.0000,4692.0000,30,100
DC,a2403,2024-01-26 21:21:14.892,4691.0000,184864,-1,46910.0000,1,0,1,双平,B,4690.0000,4691.0000,37,2
DC,a2403,2024-01-26 21:21:15.373,4691.0000,184863,-1,140740.0000,3,1,2,多平,S,4691.0000,4692.0000,5,99
DC,a2403,2024-01-26 21:21:15.739,4691.0000,184864,1,46910.0000,1,1,0,双开,S,4691.0000,4692.0000,9,98
DC,a2403,2024-01-26 21:21:16.342,4691.0000,184866,2,93820.0000,2,2,0,双开,S,4691.0000,4692.0000,9,98
DC,a2403,2024-01-26 21:21:17.856,4691.0000,184866,0,46910.0000,1,0,1,多换,S,4691.0000,4692.0000,11,98
DC,a2403,2024-01-26 21:21:18.468,4691.0000,184868,2,93820.0000,2,2,0,双开,S,4691.0000,4692.0000,9,98
DC,a2403,2024-01-26 21:21:19.352,4691.0000,184869,1,46910.0000,1,1,0,双开,S,4691.0000,4692.0000,8,98
DC,a2403,2024-01-26 21:21:19.973,4691.0000,184865,-4,375280.0000,8,2,6,多平,S,4691.0000,4692.0000,3,98
DC,a2403,2024-01-26 21:21:20.349,4691.0000,184864,-1,140730.0000,3,1,2,多平,S,4691.0000,4692.0000,1,98
DC,a2403,2024-01-26 21:21:20.814,4691.0000,184863,-1,46910.0000,1,0,1,双平,S,4691.0000,4692.0000,3,104
DC,a2403,2024-01-26 21:21:21.478,4692.0000,184863,0,46920.0000,1,0,1,空换,B,4691.0000,4692.0000,3,103
DC,a2403,2024-01-26 21:21:21.808,4691.0000,184859,-4,563030.0000,12,4,8,多平,S,4691.0000,4692.0000,22,91
DC,a2403,2024-01-26 21:21:22.256,4691.0000,184859,0,93820.0000,2,1,1,多换,S,4691.0000,4692.0000,21,92
DC,a2403,2024-01-26 21:21:24.915,4691.0000,184859,0,93820.0000,2,1,1,多换,S,4691.0000,4692.0000,21,92
DC,a2403,2024-01-26 21:21:25.387,4691.0000,184854,-5,1125850.0000,24,9,15,空平,B,4690.0000,4692.0000,43,68
DC,a2403,2024-01-26 21:21:26.364,4691.0000,184853,-1,46910.0000,1,0,1,双平,B,4690.0000,4691.0000,38,22
DC,a2403,2024-01-26 21:21:26.758,4692.0000,184837,-16,1125860.0000,24,4,20,空平,B,4690.0000,4692.0000,38,124
DC,a2403,2024-01-26 21:21:27.423,4692.0000,184836,-1,187650.0000,4,1,3,空平,B,4690.0000,4692.0000,44,124
DC,a2403,2024-01-26 21:21:28.462,4690.0000,184836,0,93800.0000,2,1,1,多换,S,4691.0000,4692.0000,2,121
DC,a2403,2024-01-26 21:21:28.740,4691.0000,184834,-2,93820.0000,2,0,2,双平,B,4690.0000,4691.0000,31,1
DC,a2403,2024-01-26 21:21:29.465,4691.0000,184833,-1,46910.0000,1,0,1,双平,B,4690.0000,4691.0000,31,1
DC,a2403,2024-01-26 21:21:29.870,4690.0000,184831,-2,93800.0000,2,0,2,双平,S,4690.0000,4691.0000,33,3
DC,a2403,2024-01-26 21:21:31.386,4691.0000,184832,1,140730.0000,3,2,1,多开,B,4690.0000,4691.0000,40,1
DC,a2403,2024-01-26 21:21:31.929,4691.0000,184832,0,46910.0000,1,0,1,空换,B,4690.0000,4691.0000,40,1
DC,a2403,2024-01-26 21:21:32.739,4691.0000,184833,1,93820.0000,2,1,1,空开,S,4691.0000,4692.0000,5,124
DC,a2403,2024-01-26 21:21:34.278,4692.0000,184833,0,140760.0000,3,1,2,空换,B,4691.0000,4692.0000,13,121
DC,a2403,2024-01-26 21:21:35.350,4692.0000,184834,1,93830.0000,2,1,1,多开,B,4691.0000,4692.0000,13,120
DC,a2403,2024-01-26 21:21:35.967,4692.0000,184833,-1,46920.0000,1,0,1,双平,B,4691.0000,4692.0000,13,119
DC,a2403,2024-01-26 21:21:37.414,4691.0000,184826,-7,1688760.0000,36,14,22,空平,B,4690.0000,4692.0000,45,63
DC,a2403,2024-01-26 21:21:38.251,4691.0000,184825,-1,46910.0000,1,0,1,双平,B,4690.0000,4691.0000,45,7
DC,a2403,2024-01-26 21:21:38.823,4692.0000,184864,39,6146690.0000,131,85,46,空开,S,4692.0000,4693.0000,7,63
DC,a2403,2024-01-26 21:21:39.287,4692.0000,184866,2,93840.0000,2,2,0,双开,S,4692.0000,4693.0000,16,62
DC,a2403,2024-01-26 21:21:40.633,4692.0000,184866,0,187710.0000,4,2,2,多换,S,4692.0000,4693.0000,26,59
DC,a2403,2024-01-26 21:21:41.410,4693.0000,184865,-1,140790.0000,3,1,2,空平,B,4692.0000,4693.0000,26,56
DC,a2403,2024-01-26 21:21:41.774,4693.0000,184865,0,46930.0000,1,0,1,空换,B,4692.0000,4693.0000,26,55
DC,a2403,2024-01-26 21:21:42.480,4692.0000,184865,0,234600.0000,5,2,3,多换,S,4692.0000,4693.0000,35,55
DC,a2403,2024-01-26 21:21:42.908,4693.0000,184858,-7,422310.0000,9,1,8,空平,B,4692.0000,4693.0000,30,51
DC,a2403,2024-01-26 21:21:43.344,4693.0000,184857,-1,93860.0000,2,0,2,空平,B,4692.0000,4693.0000,30,50
DC,a2403,2024-01-26 21:21:44.472,4692.0000,184854,-3,375360.0000,8,2,6,多平,S,4692.0000,4693.0000,23,54
DC,a2403,2024-01-26 21:21:45.334,4692.0000,184857,3,656920.0000,14,8,6,空开,S,4692.0000,4693.0000,25,57
DC,a2403,2024-01-26 21:21:45.689,4692.0000,184857,0,46920.0000,1,0,1,多换,S,4692.0000,4693.0000,24,55
DC,a2403,2024-01-26 21:21:46.375,4692.0000,184857,0,46920.0000,1,0,1,多换,S,4692.0000,4693.0000,24,55
DC,a2403,2024-01-26 21:21:47.119,4693.0000,184857,0,46930.0000,1,0,1,空换,B,4692.0000,4693.0000,24,54
DC,a2403,2024-01-26 21:21:50.364,4691.0000,184827,-30,3002600.0000,64,17,47,空平,B,4690.0000,4691.0000,54,12
DC,a2403,2024-01-26 21:21:54.332,4690.0000,184819,-8,562800.0000,12,2,10,多平,S,4690.0000,4691.0000,46,8
DC,a2403,2024-01-26 21:21:56.462,4691.0000,184808,-11,703640.0000,15,2,13,空平,B,4690.0000,4691.0000,49,5
DC,a2403,2024-01-26 21:21:57.352,4691.0000,184819,11,984960.0000,21,16,5,多开,B,4690.0000,4691.0000,34,13
DC,a2403,2024-01-26 21:21:58.475,4690.0000,184813,-6,469000.0000,10,2,8,多平,S,4690.0000,4691.0000,17,44
DC,a2403,2024-01-26 21:21:58.756,4690.0000,184801,-12,844200.0000,18,3,15,空平,B,4689.0000,4691.0000,36,44
DC,a2403,2024-01-26 21:22:00.919,4689.0000,184798,-3,234450.0000,5,1,4,多平,S,4689.0000,4690.0000,20,30
DC,a2403,2024-01-26 21:22:02.384,4690.0000,184802,4,375160.0000,8,6,2,多开,B,4689.0000,4690.0000,31,35
DC,a2403,2024-01-26 21:22:02.778,4689.0000,184801,-1,46890.0000,1,0,1,双平,S,4689.0000,4690.0000,31,35
DC,a2403,2024-01-26 21:22:06.895,4689.0000,184801,0,46890.0000,1,0,1,多换,S,4689.0000,4690.0000,33,39
DC,a2403,2024-01-26 21:22:07.672,4690.0000,184801,0,46900.0000,1,0,1,空换,B,4689.0000,4690.0000,33,38
DC,a2403,2024-01-26 21:22:08.200,4690.0000,184801,0,46900.0000,1,0,1,空换,B,4689.0000,4690.0000,34,39
DC,a2403,2024-01-26 21:22:09.951,4690.0000,184801,0,281400.0000,6,3,3,空换,B,4689.0000,4690.0000,35,35
DC,a2403,2024-01-26 21:22:10.459,4689.0000,184800,-1,46890.0000,1,0,1,双平,S,4689.0000,4690.0000,38,35
DC,a2403,2024-01-26 21:22:11.239,4690.0000,184799,-1,234500.0000,5,2,3,空平,B,4689.0000,4690.0000,42,31
DC,a2403,2024-01-26 21:22:11.740,4690.0000,184799,0,46900.0000,1,0,1,空换,B,4689.0000,4690.0000,42,30
DC,a2403,2024-01-26 21:22:12.885,4689.0000,184797,-2,93780.0000,2,0,2,双平,S,4689.0000,4690.0000,41,23
DC,a2403,2024-01-26 21:22:13.974,4689.0000,184798,1,656520.0000,14,7,7,空开,S,4689.0000,4690.0000,33,17
DC,a2403,2024-01-26 21:22:14.692,4689.0000,184793,-5,234450.0000,5,0,5,双平,S,4689.0000,4690.0000,28,32
DC,a2403,2024-01-26 21:22:15.242,4689.0000,184774,-19,937800.0000,20,0,20,多平,S,4689.0000,4690.0000,10,35
DC,a2403,2024-01-26 21:22:16.796,4689.0000,184763,-11,562680.0000,12,0,12,空平,B,4688.0000,4689.0000,75,1
DC,a2403,2024-01-26 21:22:17.434,4689.0000,184764,1,46890.0000,1,1,0,双开,B,4688.0000,4689.0000,74,14
DC,a2403,2024-01-26 21:22:22.259,4689.0000,184766,2,93780.0000,2,2,0,双开,B,4688.0000,4689.0000,74,20
DC,a2403,2024-01-26 21:22:23.888,4688.0000,184767,1,46880.0000,1,1,0,双开,S,4688.0000,4689.0000,79,20
DC,a2403,2024-01-26 21:22:24.203,4688.0000,184767,0,93770.0000,2,1,1,多换,S,4688.0000,4689.0000,72,20
DC,a2403,2024-01-26 21:22:25.376,4689.0000,184765,-2,187560.0000,4,1,3,空平,B,4688.0000,4689.0000,72,17
DC,a2403,2024-01-26 21:22:25.933,4689.0000,184769,4,797130.0000,17,10,7,空开,S,4689.0000,4690.0000,24,64
DC,a2403,2024-01-26 21:22:26.424,4690.0000,184769,0,93800.0000,2,1,1,空换,B,4689.0000,4690.0000,24,57
DC,a2403,2024-01-26 21:22:27.986,4689.0000,184769,0,46890.0000,1,0,1,多换,S,4689.0000,4690.0000,32,57
DC,a2403,2024-01-26 21:22:28.808,4689.0000,184769,0,46890.0000,1,0,1,多换,S,4689.0000,4690.0000,33,57
DC,a2403,2024-01-26 21:22:29.463,4689.0000,184770,1,515790.0000,11,6,5,空开,S,4689.0000,4690.0000,23,58
DC,a2403,2024-01-26 21:22:30.467,4689.0000,184764,-6,844020.0000,18,6,12,空平,B,4688.0000,4689.0000,75,4
DC,a2403,2024-01-26 21:22:31.487,4689.0000,184764,0,422010.0000,9,4,5,多换,S,4689.0000,4690.0000,9,62
DC,a2403,2024-01-26 21:22:31.741,4689.0000,184764,0,234450.0000,5,2,3,多换,S,4689.0000,4690.0000,20,31
DC,a2403,2024-01-26 21:22:32.273,4689.0000,184761,-3,468900.0000,10,3,7,多平,S,4689.0000,4690.0000,10,20
DC,a2403,2024-01-26 21:22:32.853,4689.0000,184761,0,46890.0000,1,0,1,多换,S,4689.0000,4690.0000,10,20
DC,a2403,2024-01-26 21:22:33.414,4689.0000,184762,1,46890.0000,1,1,0,双开,S,4689.0000,4690.0000,11,20
DC,a2403,2024-01-26 21:22:33.739,4689.0000,184762,0,281350.0000,6,3,3,多换,S,4689.0000,4690.0000,5,34
DC,a2403,2024-01-26 21:22:34.478,4690.0000,184761,-1,46900.0000,1,0,1,双平,B,4689.0000,4690.0000,5,33
DC,a2403,2024-01-26 21:22:34.556,4689.0000,184756,-5,281340.0000,6,0,6,多平,S,4689.0000,4690.0000,10,33
DC,a2403,2024-01-26 21:22:35.913,4690.0000,184755,-1,46900.0000,1,0,1,双平,B,4689.0000,4690.0000,14,32
DC,a2403,2024-01-26 21:22:37.749,4689.0000,184756,1,46890.0000,1,1,0,双开,S,4689.0000,4690.0000,14,32
DC,a2403,2024-01-26 21:22:39.379,4690.0000,184756,0,93790.0000,2,1,1,空换,B,4689.0000,4690.0000,17,28
